,State,Electoral_Votes,Winner,Total_Vote_Count,Trump_Vote_Count,Biden_Vote_Count,Trump_Vote_Percent,Biden_Vote_Percent
17,Louisiana,8,Trump,1771569,982775,720732,55.475,40.683
18,Maine,4,Biden,683887,327111,327896,47.831,47.946
19,Maryland,10,Biden,2639210,838460,1695000,31.769,64.224
20,Massachusetts,11,Biden,2890572,891430,1872782,30.839,64.789
21,Michigan,15,Biden,4635984,2198848,2255448,47.43,48.651
22,Minnesota,10,Biden,2602836,1204758,1296495,46.286,49.811
23,Mississippi,6,Trump,1257361,711026,495505,56.549,39.408
24,Missouri,10,Trump,2824343,1547038,1172388,54.775,41.51
25,Montana,4,Trump,490240,296997,173449,60.582,35.38
26,Nebraska,5,Trump,745898,430774,282453,57.752,37.868
27,Nevada,6,Trump,1148563,580238,524167,50.519,45.637
28,New Hampshire,4,Biden,642733,296651,320500,46.155,49.865
29,New Jersey,14,Trump,3519922,1685337,1685287,47.88,47.879
30,New Mexico,5,Biden,820497,356581,432224,43.459,52.678
31,New York,28,Biden,7115322,3040927,3795546,42.738,53.343
32,North Carolina,16,Trump,3665788,1871321,1641149,51.048,44.769
33,North Dakota,3,Trump,334388,223769,97822,66.919,29.254
34,Ohio,17,Trump,4709264,2419924,2117204,51.386,44.958
35,Oklahoma,7,Trump,1549062,1006058,477939,64.946,30.853
36,Oregon,8,Biden,2064562,794045,1167880,38.461,56.568
37,Pennsylvania,19,Trump,5605571,2758663,2633877,49.213,46.987
38,Rhode Island,4,Biden,500256,209753,266737,41.929,53.32
39,South Carolina,9,Trump,1992650,1132869,781596,56.852,39.224
40,South Dakota,3,Trump,367371,217956,133833,59.329,36.43
41,Tennessee,11,Trump,2773383,1646531,1001974,59.369,36.128
42,Texas,40,Trump,9930237,5061949,4479962,50.975,45.114
43,Utah,6,Trump,1228401,828917,347945,67.479,28.325
44,Vermont,3,Biden,314116,109845,190027,34.97,60.496
45,Virginia,13,Biden,3588212,1703544,1743350,47.476,48.585
46,Washington,12,Biden,3311843,1330822,1847810,40.184,55.794
47,West Virginia,4,Trump,701404,490152,182086,69.882,25.96
48,Wisconsin,10,Biden,2578833,1212718,1270512,47.026,49.267
49,Wyoming,3,Trump,219055,175978,34015,80.335,15.528
50,District of Columbia,3,Biden,399644,27260,358256,6.821,89.644
0,Alabama,9,Trump,1997518,1156887,767306,57.916,38.413
1,Alaska,3,Trump,298603,161700,125856,54.152,42.148
2,Arizona,11,Trump,2846009,1416266,1319845,49.763,46.375
3,Arkansas,6,Trump,1087294,743661,297609,68.396,27.372
4,California,54,Biden,13621946,4490736,8584352,32.967,63.019
5,Colorado,10,Biden,2529176,1052557,1377329,41.617,54.458
6,Connecticut,7,Biden,1422016,601327,765495,42.287,53.832
7,Delaware,3,Biden,462090,188695,253815,40.835,54.928
8,Florida,30,Trump,7813934,3979114,3540874,50.923,45.315
9,Georgia,16,Trump,4218625,2178797,1864918,51.647,44.207
10,Hawaii,4,Biden,520292,194393,306843,37.362,58.975
11,Idaho,4,Trump,733298,485264,216238,66.176,29.488
12,Illinois,19,Biden,4885380,2005319,2662400,41.047,54.497
13,Indiana,11,Trump,2607498,1555343,950853,59.649,36.466
14,Iowa,6,Trump,1385565,813480,514059,58.711,37.101
15,Kansas,6,Trump,1269417,733561,479870,57.787,37.802
16,Kentucky,8,Trump,1856536,1222069,556327,65.825,29.966
17,Louisiana,8,Trump,1772147,984346,719457,55.545,40.598
18,Maine,4,Biden,684634,327618,327973,47.853,47.905
19,Maryland,10,Biden,2640003,841093,1692650,31.86,64.115
20,Massachusetts,11,Biden,2892501,891347,1874986,30.816,64.822
21,Michigan,15,Biden,4636247,2200229,2253749,47.457,48.611
22,Minnesota,10,Biden,2603736,1205529,1296014,46.3,49.775
23,Mississippi,6,Trump,1257523,710261,496319,56.481,39.468
24,Missouri,10,Trump,2825866,1546837,1173733,54.739,41.535
25,Montana,4,Trump,490497,297820,172825,60.718,35.235
26,Nebraska,5,Trump,746040,431906,281635,57.893,37.751
27,Nevada,6,Trump,1148580,579357,524403,50.441,45.657
28,New Hampshire,4,Biden,643418,297098,320427,46.175,49.801
29,New Jersey,14,Biden,3520893,1685300,1686285,47.866,47.894
30,New Mexico,5,Biden,820678,356347,432213,43.421,52.665
31,New York,28,Biden,7114555,3043425,3792742,42.777,53.31
32,North Carolina,16,Trump,3666043,1872092,1640601,51.066,44.751
33,North Dakota,3,Trump,334126,223749,97496,66.965,29.179
34,Ohio,17,Trump,4710325,2421501,2116893,51.408,44.942
35,Oklahoma,7,Trump,1549126,1005346,478900,64.898,30.914
36,Oregon,8,Biden,2064111,792643,1168877,38.401,56.629
37,Pennsylvania,19,Trump,5605419,2759756,2632481,49.234,46.963
38,Rhode Island,4,Biden,500945,210324,267148,41.985,53.329
39,South Carolina,9,Trump,1991828,1133454,780863,56.905,39.203
40,South Dakota,3,Trump,368190,218091,134402,59.233,36.503
41,Tennessee,11,Trump,2771822,1644953,1002231,59.346,36.158
42,Texas,40,Trump,9928059,5059349,4479687,50.96,45.121
